,pokemon1,pokemon2,pokemon3,url,rating
0,Whiscash1426,Primeape1491,Tamao,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Cumbreon-m-1-3-2,751
1,Whiscash1426,Primeape1491,Mew,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Cmew-m-8-9-0,802
2,Whiscash1426,Primeape1491,Skaromry1489,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Cskarmory-m-0-3-0,703
3,Whiscash1426,Primeape1491,Toxicroak,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Ctoxicroak-m-0-2-0,798
4,Whiscash1426,Primeape1491,alolan_raichu,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Craichu_alolan-m-0-3-0,809
5,Whiscash1426,Primeape1491,GranbullCC,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Cgranbull-m-0-1-0,805
6,Whiscash1426,Primeape1491,Hariyama1475,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Chariyama-m-1-1-3,807
7,Whiscash1426,Primeape1491,Snorlax1488,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Csnorlax-m-0-4-0,804
8,Whiscash1426,Primeape1491,Galvantula1474,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cprimeape-m-0-1-4%2Cgalvantula-m-1-4-0,804
9,Whiscash1426,Lapras1450,Primeape1491,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Clapras-m-0-6-0%2Cprimeape-m-0-1-4,788
10,Whiscash1426,Tamao,Mew,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cumbreon-m-1-3-2%2Cmew-m-8-9-0,807
11,Whiscash1426,Skaromry1489,Tamao,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cskarmory-m-0-3-0%2Cumbreon-m-1-3-2,725
12,Whiscash1426,Toxicroak,Tamao,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Ctoxicroak-m-0-2-0%2Cumbreon-m-1-3-2,764
13,Whiscash1426,Tamao,alolan_raichu,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cumbreon-m-1-3-2%2Craichu_alolan-m-0-3-0,799
14,Whiscash1426,Tamao,GranbullCC,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cumbreon-m-1-3-2%2Cgranbull-m-0-1-0,810
15,Whiscash1426,Hariyama1475,Tamao,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Chariyama-m-1-1-3%2Cumbreon-m-1-3-2,770
16,Whiscash1426,Tamao,Snorlax1488,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cumbreon-m-1-3-2%2Csnorlax-m-0-4-0,810
17,Whiscash1426,Tamao,Galvantula1474,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cumbreon-m-1-3-2%2Cgalvantula-m-1-4-0,793
18,Whiscash1426,Lapras1450,Tamao,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Clapras-m-0-6-0%2Cumbreon-m-1-3-2,797
19,Whiscash1426,Skaromry1489,Mew,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cskarmory-m-0-3-0%2Cmew-m-8-9-0,799
20,Whiscash1426,Toxicroak,Mew,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Ctoxicroak-m-0-2-0%2Cmew-m-8-9-0,804
21,Whiscash1426,Mew,alolan_raichu,https://pvpoke.com/team-builder/all/1500/whiscash-m-1-3-0%2Cmew-m-8-9-0%2Craichu_alolan-m-0-3-0,830
